Calendar_Date,Algorithmic_Forecast_Value,Lower_Risk_Bound,Upper_Risk_Bound,Underlying_Macro_Trend,Actual_Market_Value
2022-02-16,38825.2020346287,32513.119394374487,44876.37529527724,41016.18555309002,43961.859375
2022-02-17,38487.20898636188,32009.660998671596,44213.862826548364,40896.31414740572,40538.01171875
2022-02-18,38379.22484082065,32316.1021485884,44839.38839027261,40776.44274172142,40030.9765625
2022-02-19,38283.859858629585,31956.616966444923,44804.963975528626,40656.57133603712,40122.15625
2022-02-20,38294.992880103964,31189.69524315297,44052.46098935382,40536.69993035282,38431.37890625
2022-02-21,38429.26728362541,32477.147019309647,45009.453103122374,40416.82852466853,37075.28125
2022-02-22,38305.464325550754,32234.30162604316,44480.81713476627,40296.957118984225,38286.02734375
2022-02-23,38485.62196061474,31864.693233749116,44697.050034653344,40177.085716406684,37296.5703125
2022-02-24,38196.72744759225,31881.782528781245,45036.06870880702,40057.21431382914,38332.609375
2022-02-25,38130.73880491344,31527.122343230978,44094.89475480828,39937.34291125161,39214.21875
2022-02-26,38071.28225656554,31943.301084948664,44936.19509852004,39817.47150867407,39105.1484375
2022-02-27,38113.34685965955,32123.794882820624,44154.200583112775,39697.60010609653,37709.78515625
2022-02-28,38274.72771637538,31713.170416971945,44848.77304637331,39577.72870351899,43193.234375
2022-03-01,38175.347336503844,31697.812743362065,44692.23239163593,39457.85730094145,44354.63671875
2022-03-02,38378.32499477873,31940.299961359327,44899.05125595994,39337.98589836391,43924.1171875
2022-03-03,38111.62403284656,31962.046294514603,44373.68571267423,39218.11449578637,42451.7890625
2022-03-04,38068.03360046473,31576.619851313608,44349.739331608755,39098.24309320883,39137.60546875
2022-03-05,38031.83325549879,31853.242835027853,44375.21511917062,38978.37169063129,39400.5859375
2022-03-06,38098.46259711746,31867.57519113285,44281.221078535316,38858.50028805375,38419.984375
2022-03-07,38285.94805845994,32058.44992357338,44606.99107553449,38738.62888547622,38062.0390625
2022-03-08,38214.216847897536,31881.576380111193,44490.861718858396,38618.757482898676,38737.26953125
2022-03-09,38446.16799866645,31963.70545173064,44304.50542639032,38498.88608032113,41982.92578125
